         Planet Name  |   Pl. Mass  |     Pl. Period   |   Pl. Semi-axis  |   Pl. Ecc  |  Pl. Incl  |     Ang. Dist   |   St. Dist  |  St. Spec. Type  |  St. Mass  |  St. [Fe/H]  |  St. Right Asc.  |     St. Decli.   |  
          HD 73526 c  |       2.5   |          377.8   |          1.05    |     0.14   |            |      0.010606   |        99   |         G6 V     |     1.02   |      0.28    |        08 37 16  |       -41 19 08  |  
          HD 74156 b  |      1.86   |         51.643   |         0.294    |    0.636   |            |         0.005   |     64.56   |           G0     |     1.05   |      0.13    |        08 42 25  |       +04 34 41  |  
          HD 74156 c  |      6.17   |           2025   |           3.4    |    0.583   |            |         0.053   |     64.56   |           G0     |     1.05   |      0.13    |        08 42 25  |       +04 34 41  |  
          HD 75289 b  |      0.42   |           3.51   |         0.046    |    0.054   |            |         0.002   |     28.94   |         G0 V     |     1.05   |      0.29    |        08 47 40  |       -41 44 12  |  
          HD 76700 b  |     0.197   |          3.971   |         0.049    |     0.13   |            |      0.000821   |      59.7   |         G6 V     |        1   |      0.14    |        08 53 55  |       -66 48 03  |  
          HD 80606 b  |      3.41   |         111.78   |         0.439    |    0.927   |            |         0.008   |     58.38   |           G5     |      0.9   |      0.43    |        09 22 37  |       +50 36 13  |  
          HD 81040 b  |      6.86   |         1001.7   |          1.94    |    0.526   |            |      0.059582   |     32.56   |        G2/G3     |     0.96   |     -0.16    |        09 23 47  |       +20 21 52  |  
          HD 82943 b  |      1.75   |          441.2   |          1.19    |    0.219   |            |      0.043336   |     27.46   |           G0     |     1.15   |      0.27    |        09 34 50  |       -12 07 46  |  
          HD 82943 c  |      2.01   |            219   |         0.746    |    0.359   |            |      0.027167   |     27.46   |           G0     |     1.15   |      0.27    |        09 34 50  |       -12 07 46  |  
          HD 83443 b  |      0.41   |         2.9853   |          0.04    |     0.08   |            |         0.001   |     43.54   |         K0 V     |     0.79   |      0.33    |        09 37 11  |       -43 16 19  |  
           HD 8574 b  |      2.23   |          228.8   |          0.76    |      0.4   |            |         0.017   |     44.15   |           F8     |     1.04   |     -0.09    |        01 25 12  |       +28 34 00  |  
          HD 86081 b  |       1.5   |         2.1375   |         0.039    |    0.008   |            |      0.000429   |        91   |          F8V     |     1.21   |     0.257    |        09 56 06  |       -03 48 30  |  
          HD 88133 b  |      0.22   |           3.41   |         0.047    |     0.11   |            |      0.000631   |      74.5   |        G5 IV     |      1.2   |      0.34    |        10 10 07  |       +18 11 12  |  
          HD 89307 b  |      2.73   |           3090   |          4.15    |     0.27   |            |         0.126   |        33   |          G0V     |     1.27   |     -0.23    |        10 18 21  |       +12 37 15  |  
          HD 89744 b  |      7.99   |        256.605   |          0.89    |     0.67   |            |         0.022   |        40   |         F7 V     |      1.4   |      0.18    |        10 22 10  |       +41 13 46  |  
          HD 92788 b  |      3.86   |          377.7   |          0.97    |     0.27   |            |      0.029555   |     32.82   |           G5     |     1.06   |      0.24    |        10 42 48  |       -02 11 01  |  
          HD 93083 b  |      0.37   |         143.58   |         0.477    |     0.14   |            |         0.017   |      28.9   |         K3 V     |      0.7   |      0.15    |        10 44 20  |       -33 34 37  |  
          HD 99109 b  |     0.502   |          439.3   |         1.105    |     0.09   |            |      0.018264   |      60.5   |           K0     |     0.93   |     0.315    |        11 24 17  |       -01 31 44  |  
          HD 99492 b  |     0.109   |        17.0431   |        0.1232    |    0.254   |            |      0.006844   |        18   |          K2V     |     0.78   |      0.36    |        11 26 46  |       +03 00 22  |  
         HIP 14810 b  |      3.84   |          6.674   |        0.0692    |    0.148   |            |      0.001308   |      52.9   |           G5     |     0.99   |      0.23    |        03 11 14  |       +21 05 50  |  
         HIP 14810 c  |     0.951   |       113.8267   |         0.458    |   0.2806   |            |      0.008658   |      52.9   |           G5     |     0.99   |      0.23    |        03 11 14  |       +21 05 50  |  
         HIP 75458 b  |      8.82   |        511.098   |         1.275    |   0.7124   |            |      0.040476   |      31.5   |       K2 III     |     1.05   |      0.03    |        15 24 55  |       +58 57 57  |  
            HR 810 b  |      1.94   |        311.288   |          0.91    |     0.24   |            |       0.05871   |      15.5   |   G0V pecul.     |     1.11   |      0.25    |        02 42 31  |       -50 48 12  |  
      OGLE-05-071L b  |       0.9   |           2900   |           1.8    |            |            |      0.000621   |      2900   |                  |     0.13   |              |        17 50 09  |       -34 40 23  |  
      OGLE-05-169L b  |      0.04   |           3300   |           2.8    |            |            |      0.001037   |      2700   |                  |     0.49   |              |        18 06 05  |       -30 43 57  |  
      OGLE-05-390L b  |     0.017   |           3500   |           2.1    |            |            |      0.000323   |      6500   |            M     |     0.22   |              |        17 54 19  |       -30 22 38  |  
        OGLE-TR-10 b  |      0.54   |       3.101269   |       0.04162    |        0   |   86.46    |       2.8E-05   |      1500   |       G or K     |     1.22   |      0.12    |        17 51 28  |       -29 52 34  |  
       OGLE-TR-111 b  |      0.53   |      4.0144479   |         0.047    |        0   |    88.1    |       3.1E-05   |      1500   |       G or K     |     0.82   |      0.12    |         10 53 1  |       -61 24 20  |  
       OGLE-TR-113 b  |      1.32   |      1.4324757   |        0.0229    |        0   |    89.4    |       1.5E-05   |      1500   |            K     |     0.78   |      0.14    |        10 52 24  |       -61 26 48  |  
       OGLE-TR-132 b  |      1.19   |       1.689857   |        0.0306    |        0   |      85    |         2E-05   |      1500   |            F     |     1.35   |      0.43    |        10 50 34  |       -61 57 25  |  
        OGLE-TR-56 b  |      1.45   |      1.2119189   |        0.0225    |        0   |      81    |       1.5E-05   |      1500   |            G     |     1.04   |              |        17 56 35  |       -29 32 21  |  
     OGLE235-MOA53 b  |       2.6   |                  |           5.1    |            |            |      0.000981   |      5200   |                  |     0.63   |              |        18 05 16  |       -28 53 42  |  
       PSR 1257+12 b  |         0   |         25.262   |          0.19    |        0   |            |      0.000633   |       300   |                  |            |              |        13 00 03  |        12 40 57  |  
       PSR 1257+12 c  |     0.014   |        66.5419   |          0.36    |   0.0186   |      53    |        0.0012   |       300   |                  |            |              |        13 00 03  |        12 40 57  |  
       PSR 1257+12 d  |     0.012   |        98.2114   |          0.46    |   0.0252   |      47    |      0.001533   |       300   |                  |            |              |        13 00 03  |        12 40 57  |  
      PSR B1620-26 b  |       2.5   |          36525   |            23    |            |      55    |      0.006053   |      3800   |                  |     1.35   |              |        16 23 38  |       -26 31 53  |  
           rho CrB b  |      1.04   |         39.845   |          0.22    |     0.04   |            |      0.013174   |      16.7   |   G0V or G2V     |     0.95   |     -0.19    |        16 01 03  |       +33 18 51  |  
          SCR 1845 b  |       8.5   |                  |           4.5    |            |            |      1.168831   |      3.85   |       M8.5 V     |            |              |        18 45 07  |       -63 57 43  |  
         SWEEPS-04    |       3.8   |            4.2   |         0.055    |            |      87    |       2.8E-05   |      2000   |                  |     1.24   |              |        17 58 54  |       -29 11 21  |  
         SWEEPS-11    |       9.7   |          1.796   |          0.03    |            |      84    |       1.5E-05   |      2000   |                  |      1.1   |              |        17 59 03  |       -29 11 54  |  
           Tau Boo b  |       3.9   |         3.3135   |         0.046    |            |            |      0.003067   |        15   |         F7 V     |      1.3   |      0.28    |        13 47 17  |       +17 27 22  |  
            TrES-1    |      0.61   |       3.030065   |        0.0393    |    0.135   |    88.2    |       0.00025   |       157   |          K0V     |     0.87   |     0.001    |        19 04 09  |       +36 37 57  |  
            TrES-2    |      1.28   |        2.47063   |        0.0367    |        0   |    83.9    |                 |             |          G0V     |     1.08   |              |        19 07 14  |       +49 18 59  |  
           Ups And b  |      0.69   |        4.61708   |         0.059    |    0.029   |            |       0.00438   |     13.47   |         F8 V     |      1.3   |      0.13    |        01 36 48  |       +41 24 38  |  
           Ups And c  |      1.98   |         241.52   |          0.83    |    0.254   |            |      0.061618   |     13.47   |         F8 V     |      1.3   |      0.13    |        01 36 48  |       +41 24 38  |  
           Ups And d  |      3.95   |         1274.6   |          2.51    |    0.242   |            |       0.18634   |     13.47   |         F8 V     |      1.3   |      0.13    |        01 36 48  |       +41 24 38  |  
            WASP-1 b  |      0.89   |        2.51997   |        0.0382    |            |    83.9    |                 |             |          F7V     |     1.15   |              |        00 20 40  |       +31 59 24  |  
            WASP-2 b  |      0.88   |       2.152226   |        0.0307    |            |      87    |                 |             |          K1V     |     0.79   |              |        20 30 54  |       +06 25 46  |  
              XO-1 b  |       0.9   |       3.941534   |        0.0488    |            |   89.31    |      0.000244   |       200   |          G1V     |        1   |              |        16 02 12  |       +28 10 11  |  
